0.05/run.par.log:DATA:	test status	p-value	test pop	ref A	ref B	2-ref z-score	1-ref z-score A	1-ref z-score B	max decay diff %	2-ref decay	2-ref amp_exp	1-ref decay A	1-ref amp_exp A	1-ref decay B	1-ref amp_exp B
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	15	QCC	GIR	NEL	0.00	5.62	5.75	180%	500.00 +/- inf	0.00208361 +/- inf	26.24 +/- 4.67	0.00015865 +/- 0.00002432	26.98 +/- 4.30	0.00015510 +/- 0.00002699
0.05/run.par.log:DATA:	success	1.3e-09	QCC	GIR	FLV	6.49	5.62	8.89	24%	25.47 +/- 3.93	0.00041011 +/- 0.00005465	26.24 +/- 4.67	0.00015865 +/- 0.00002432	32.54 +/- 3.66	0.00009069 +/- 0.00000943
0.05/run.par.log:DATA:	success	8.1e-10	QCC	GIR	HOL	6.56	5.62	7.05	14%	26.19 +/- 3.99	0.00042021 +/- 0.00005591	26.24 +/- 4.67	0.00015865 +/- 0.00002432	30.16 +/- 4.28	0.00008388 +/- 0.00001031
0.05/run.par.log:DATA:	success	4.3e-10	QCC	GIR	JBC	6.65	5.62	6.83	14%	27.56 +/- 4.14	0.00044313 +/- 0.00005881	26.24 +/- 4.67	0.00015865 +/- 0.00002432	30.29 +/- 4.43	0.00008345 +/- 0.00000986
0.05/run.par.log:DATA:	success (warning: decay rates inconsistent)	1.4e-10	QCC	GIR	JER	6.82	5.62	9.54	31%	25.28 +/- 3.71	0.00040453 +/- 0.00005279	26.24 +/- 4.67	0.00015865 +/- 0.00002432	34.46 +/- 3.61	0.00009454 +/- 0.00000916
0.05/run.par.log:DATA:	success (warning: decay rates inconsistent)	2.4e-10	QCC	GIR	LIM	6.74	5.62	9.76	35%	26.14 +/- 3.88	0.00041664 +/- 0.00005503	26.24 +/- 4.67	0.00015865 +/- 0.00002432	37.16 +/- 3.81	0.00010017 +/- 0.00000998
0.05/run.par.log:DATA:	success	8.6e-11	QCC	GIR	RAN	6.89	5.62	7.01	10%	26.26 +/- 3.81	0.00042031 +/- 0.00005325	26.24 +/- 4.67	0.00015865 +/- 0.00002432	28.98 +/- 4.13	0.00007949 +/- 0.00001011
0.05/run.par.log:DATA:	success (warning: decay rates inconsistent)	3.9e-10	QCC	NEL	FLV	6.67	5.75	8.89	25%	25.19 +/- 3.78	0.00039141 +/- 0.00005771	26.98 +/- 4.30	0.00015510 +/- 0.00002699	32.54 +/- 3.66	0.00009069 +/- 0.00000943
0.05/run.par.log:DATA:	success	3.1e-10	QCC	NEL	HOL	6.70	5.75	7.05	16%	25.70 +/- 3.84	0.00039810 +/- 0.00005892	26.98 +/- 4.30	0.00015510 +/- 0.00002699	30.16 +/- 4.28	0.00008388 +/- 0.00001031
0.05/run.par.log:DATA:	success	6.1e-11	QCC	NEL	JBC	6.94	5.75	6.83	12%	27.06 +/- 3.90	0.00042183 +/- 0.00006082	26.98 +/- 4.30	0.00015510 +/- 0.00002699	30.29 +/- 4.43	0.00008345 +/- 0.00000986
0.05/run.par.log:DATA:	success (warning: decay rates inconsistent)	8.6e-11	QCC	NEL	JER	6.89	5.75	9.54	32%	24.92 +/- 3.49	0.00038553 +/- 0.00005599	26.98 +/- 4.30	0.00015510 +/- 0.00002699	34.46 +/- 3.61	0.00009454 +/- 0.00000916
0.05/run.par.log:DATA:	success (warning: decay rates inconsistent)	4e-10	QCC	NEL	LIM	6.67	5.75	9.76	36%	25.70 +/- 3.76	0.00039491 +/- 0.00005925	26.98 +/- 4.30	0.00015510 +/- 0.00002699	37.16 +/- 3.81	0.00010017 +/- 0.00000998
0.05/run.par.log:DATA:	success	5e-11	QCC	NEL	RAN	6.96	5.75	7.01	11%	25.88 +/- 3.69	0.00040003 +/- 0.00005745	26.98 +/- 4.30	0.00015510 +/- 0.00002699	28.98 +/- 4.13	0.00007949 +/- 0.00001011
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	3	QCC	FLV	HOL	1.28	8.89	7.05	103%	93.78 +/- 52.22	0.00000158 +/- 0.00000124	32.54 +/- 3.66	0.00009069 +/- 0.00000943	30.16 +/- 4.28	0.00008388 +/- 0.00001031
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	0.68	QCC	FLV	JBC	2.00	8.89	6.83	114%	8.94 +/- 2.70	0.00000076 +/- 0.00000038	32.54 +/- 3.66	0.00009069 +/- 0.00000943	30.29 +/- 4.43	0.00008345 +/- 0.00000986
0.05/run.par.log:DATA:	failure (warning: decay rates inconsistent)	8.2	QCC	FLV	JER	0.61	8.89	9.54	30%	25.54 +/- 42.19	0.00000051 +/- 0.00000071	32.54 +/- 3.66	0.00009069 +/- 0.00000943	34.46 +/- 3.61	0.00009454 +/- 0.00000916
0.05/run.par.log:DATA:	failure	8.3	QCC	FLV	LIM	0.59	8.89	9.76	19%	39.55 +/- 67.05	0.00000072 +/- 0.00000116	32.54 +/- 3.66	0.00009069 +/- 0.00000943	37.16 +/- 3.81	0.00010017 +/- 0.00000998
0.05/run.par.log:DATA:	failure	9.3	QCC	FLV	RAN	0.49	8.89	7.01	17%	27.37 +/- 55.45	0.00000079 +/- 0.00000119	32.54 +/- 3.66	0.00009069 +/- 0.00000943	28.98 +/- 4.13	0.00007949 +/- 0.00001011
